date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
04-09,76.5,27.9,50.3,,27.9,32.4,41.3,60.8,71.3,76.5,50.3
04-10,77.5,29.4,50.5,,29.4,33.6,42.0,61.3,72.1,77.5,50.5
04-11,79.0,33.6,50.7,,33.6,37.0,43.8,62.0,73.3,79.0,50.7
04-12,76.8,36.5,50.9,,36.5,39.3,45.1,61.3,71.6,76.8,50.9
04-13,75.8,38.6,50.9,,38.6,41.1,46.0,60.8,70.8,75.8,50.9
04-14,74.7,41.6,51.3,,41.6,43.5,47.4,60.7,70.0,74.7,51.3
04-15,73.7,44.1,51.1,,44.1,45.5,48.3,60.1,69.2,73.7,51.1
04-16,73.2,46.1,51.3,,46.1,47.2,49.2,60.1,68.8,73.2,51.3
04-17,72.7,46.7,51.5,,46.7,47.6,49.6,60.0,68.5,72.7,51.5
04-18,72.4,47.7,51.4,,47.7,48.5,49.9,59.8,68.2,72.4,51.4
04-19,73.1,48.5,51.5,,48.5,49.1,50.3,60.1,68.8,73.1,51.5
04-20,73.1,49.4,51.8,,49.4,49.9,50.9,60.3,68.9,73.1,51.8
04-21,74.1,50.8,51.7,,50.8,51.0,51.3,60.7,69.6,74.1,51.7
04-22,77.9,53.3,51.9,,51.9,52.2,52.8,63.2,73.0,77.9,53.3
04-23,79.6,56.3,52.4,,52.4,53.2,54.8,65.6,75.0,79.6,56.3
04-24,77.3,61.1,52.6,,52.6,54.3,57.7,67.6,74.1,77.3,61.1
04-25,80.3,62.2,52.8,,52.8,54.6,58.4,69.4,76.7,80.3,62.2
04-26,81.9,63.8,52.6,,52.6,54.9,59.3,71.0,78.3,81.9,63.8
04-27,83.1,63.5,52.9,,52.9,55.0,59.2,71.4,79.2,83.1,63.5
04-28,83.4,63.2,53.1,,53.1,55.1,59.2,71.3,79.4,83.4,63.2
04-29,84.0,62.8,53.4,,53.4,55.3,59.1,71.3,79.8,84.0,62.8
04-30,84.1,66.4,54.0,,54.0,56.5,61.4,73.5,80.6,84.1,66.4
05-01,84.2,69.6,54.5,,54.5,57.5,63.6,75.5,81.3,84.2,69.6
05-02,81.0,71.7,55.2,,55.2,58.5,65.1,75.4,79.1,81.0,71.7
05-03,82.1,71.8,57.2,,57.2,60.1,65.9,75.9,80.0,82.1,71.8
05-04,82.7,71.4,59.8,,59.8,62.1,66.8,75.9,80.4,82.7,71.4
05-05,82.7,72.4,63.4,,63.4,65.2,68.8,76.6,80.7,82.7,72.4
05-06,82.9,73.1,68.4,,68.4,69.3,71.2,77.0,80.9,82.9,73.1
